Country Name,Country Code,Year,"Net bilateral aid flows from DAC donors, United States (current US$)","Net bilateral aid flows from DAC donors, United Kingdom (current US$)","Net bilateral aid flows from DAC donors, Germany (current US$)","Net bilateral aid flows from DAC donors, European Union institutions (current US$)","Net bilateral aid flows from DAC donors, Total (current US$)",Region,Income group
Afghanistan,AFG,2000,2420000.07629395,12649999.6185303,10630000.1144409,17729999.5422363,105239999.111742,South Asia,Low income
Afghanistan,AFG,2001,7699999.80926514,35439998.626709,44139999.3896484,45790000.9155273,368649994.671345,South Asia,Low income
Afghanistan,AFG,2002,367609985.351563,130800003.051758,92569999.6948242,143720001.220703,1134419991.01639,South Asia,Low income
Afghanistan,AFG,2003,485790008.544922,98610000.6103516,82099998.4741211,208029998.779297,1428820004.5675,South Asia,Low income
Afghanistan,AFG,2004,778289978.027344,224009994.506836,75129997.253418,212000000.0,1934599977.91052,South Asia,Low income
Afghanistan,AFG,2005,1318300048.82813,219919998.168945,99230003.3569336,256619995.117188,2441650047.45871,South Asia,Low income
Afghanistan,AFG,2006,1403709960.9375,246490005.493164,117989997.86377,220899993.896484,2638719954.90789,South Asia,Low income
Afghanistan,AFG,2007,1514280029.29688,268709991.455078,217149993.896484,307459991.455078,3328630026.40009,South Asia,Low income
Afghanistan,AFG,2008,2111580078.125,322309997.558594,294019989.013672,349309997.558594,4355270066.82754,South Asia,Low income
Afghanistan,AFG,2009,2979929931.64063,324390014.648438,337339996.337891,395359985.351563,5527599925.83097,South Asia,Low income
Afghanistan,AFG,2010,2938840087.89063,234830001.831055,469760009.765625,285019989.013672,5831360058.9186,South Asia,Low income
Afghanistan,AFG,2011,3054949951.17188,423420013.427734,539299987.792969,363470001.220703,6300919943.21347,South Asia,Low income
Afghanistan,AFG,2012,2714090087.89063,433920013.427734,515539978.027344,256600006.103516,5860320100.60549,South Asia,Low income
Afghanistan,AFG,2013,1694069946.28906,331230010.986328,548690002.441406,250139999.389648,4509369991.67502,South Asia,Low income
Afghanistan,AFG,2014,1928079956.05469,325230010.986328,529390014.648438,358899993.896484,4382079996.23195,South Asia,Low income
Afghanistan,AFG,2015,1631469970.70313,458250000.0,362070007.324219,192279998.779297,3776539984.57455,South Asia,Low income
Afghanistan,AFG,2016,1375760009.76563,317570007.324219,502839996.337891,399809997.558594,3550330001.23501,South Asia,Low income
Afghanistan,AFG,2017,1215109985.35156,292230010.986328,478429992.675781,414859985.351563,3245409972.54103,South Asia,Low income
Afghanistan,AFG,2018,914369995.117188,331730010.986328,438049987.792969,460750000.0,3121639989.50645,South Asia,Low income
Afghanistan,AFG,2019,1428209960.9375,372429992.675781,409230010.986328,415510009.765625,3436599966.66014,South Asia,Low income
Afghanistan,AFG,2020,,,,,,South Asia,Low income
Albania,ALB,2000,44720001.2207031,9590000.15258789,19450000.7629395,87080001.8310547,228990004.310384,Europe & Central Asia,Upper middle income
Albania,ALB,2001,42259998.3215332,5309999.94277954,24549999.2370605,64589996.3378906,214349993.750453,Europe & Central Asia,Upper middle income
Albania,ALB,2002,61790000.9155273,4849999.90463257,24690000.5340576,30620000.8392334,207800003.308803,Europe & Central Asia,Upper middle income
Albania,ALB,2003,39990001.6784668,4510000.22888184,21129999.1607666,33909999.8474121,264279996.821657,Europe & Central Asia,Upper middle income
Albania,ALB,2004,40310001.373291,4030000.20980835,23610000.6103516,44229999.5422363,216400002.567098,Europe & Central Asia,Upper middle income
Albania,ALB,2005,36029998.7792969,3779999.97138977,30459999.0844727,77750000.0,257919998.057187,Europe & Central Asia,Upper middle income
Albania,ALB,2006,40580001.8310547,3609999.89509583,29579999.9237061,71400001.5258789,265720002.232119,Europe & Central Asia,Upper middle income
Albania,ALB,2007,32119998.9318848,6760000.22888184,45990001.6784668,50310001.373291,256530002.3444,Europe & Central Asia,Upper middle income
Albania,ALB,2008,35889999.3896484,2769999.98092651,44709999.0844727,60389999.3896484,329379999.997094,Europe & Central Asia,Upper middle income
Albania,ALB,2009,33000000.0,2190000.05722046,58819999.6948242,69279998.7792969,316210001.375526,Europe & Central Asia,Upper middle income
Albania,ALB,2010,28399999.6185303,870000.004768372,35349998.4741211,74949996.9482422,301229994.127527,Europe & Central Asia,Upper middle income
Albania,ALB,2011,24469999.3133545,680000.007152557,38759998.3215332,127930000.305176,334039997.130633,Europe & Central Asia,Upper middle income
Albania,ALB,2012,20360000.6103516,1019999.98092651,25870000.8392334,127559997.558594,285380000.161007,Europe & Central Asia,Upper middle income
Albania,ALB,2013,21889999.3896484,1190000.05722046,29700000.7629395,97110000.6103516,215010000.213981,Europe & Central Asia,Upper middle income
Albania,ALB,2014,17750000.0,889999.985694885,40659999.8474121,114580001.831055,268610002.60897,Europe & Central Asia,Upper middle income
Albania,ALB,2015,16280000.6866455,1009999.99046326,62270000.4577637,103970001.220703,268900002.162903,Europe & Central Asia,Upper middle income
Albania,ALB,2016,17479999.5422363,500000.0,13050000.1907349,89559997.5585938,188169997.872785,Europe & Central Asia,Upper middle income
Albania,ALB,2017,21459999.0844727,959999.978542328,26899999.6185303,74769996.6430664,196549995.964393,Europe & Central Asia,Upper middle income
Albania,ALB,2018,21120000.8392334,1500000.0,58659999.8474121,213369995.117188,361069995.641709,Europe & Central Asia,Upper middle income
Albania,ALB,2019,17040000.9155273,3519999.98092651,36880001.0681152,71980003.3569336,213360005.920753,Europe & Central Asia,Upper middle income
Albania,ALB,2020,,,,,,Europe & Central Asia,Upper middle income
Algeria,DZA,2000,,,5780000.20980835,52540000.9155273,118230000.162497,Middle East & North Africa,Lower middle income
Algeria,DZA,2001,230000.004172325,219999.998807907,600000.023841858,97769996.6430664,161249994.784594,Middle East & North Africa,Lower middle income
Algeria,DZA,2002,5159999.84741211,,-3930000.0667572,50299999.2370605,173380001.394078,Middle East & North Africa,Lower middle income
Algeria,DZA,2003,3220000.02861023,779999.971389771,59999.9986588955,55180000.3051758,225110000.563785,Middle East & North Africa,Lower middle income
Algeria,DZA,2004,3789999.96185303,19999.9995529652,-2589999.91416931,71910003.6621094,306749996.492639,Middle East & North Africa,Lower middle income
Algeria,DZA,2005,1049999.95231628,,2559999.94277954,56950000.7629395,323720003.100112,Middle East & North Africa,Lower middle income
Algeria,DZA,2006,759999.990463257,,-25479999.5422363,-13770000.4577637,192819998.394698,Middle East & North Africa,Lower middle income
Algeria,DZA,2007,1690000.05722046,569999.992847443,9380000.11444092,85709999.0844727,377539992.973208,Middle East & North Africa,Lower middle income
Algeria,DZA,2008,9109999.65667725,2109999.89509583,12470000.2670288,88110000.6103516,333070002.950728,Middle East & North Africa,Lower middle income
Algeria,DZA,2009,8079999.92370605,3609999.89509583,13069999.6948242,82750000.0,283309996.09828,Middle East & North Africa,Lower middle income
Algeria,DZA,2010,8619999.88555908,2200000.04768372,10229999.5422363,51750000.0,195089997.177944,Middle East & North Africa,Lower middle income
Algeria,DZA,2011,9170000.07629395,1440000.05722046,10390000.3433228,68550003.0517578,186510004.308075,Middle East & North Africa,Lower middle income
Algeria,DZA,2012,10739999.7711182,3410000.08583069,7679999.82833862,45099998.4741211,144049996.256828,Middle East & North Africa,Lower middle income
Algeria,DZA,2013,12510000.2288818,4860000.1335144,6099999.90463257,51599998.4741211,149379998.939112,Middle East & North Africa,Lower middle income
Algeria,DZA,2014,430000.007152557,16090000.1525879,5239999.77111816,39799999.2370605,142149999.950081,Middle East & North Africa,Lower middle income
Algeria,DZA,2015,4880000.11444092,4090000.15258789,5340000.15258789,30170000.0762939,81700001.6253441,Middle East & North Africa,Lower middle income
Algeria,DZA,2016,3859999.89509583,4389999.8664856,7480000.01907349,56520000.4577637,148510003.764182,Middle East & North Africa,Lower middle income
Algeria,DZA,2017,13869999.8855591,8640000.34332275,8460000.03814697,66269996.6430664,175039999.932051,Middle East & North Africa,Lower middle income
Algeria,DZA,2018,2519999.98092651,8819999.69482422,10470000.2670288,50470001.2207031,139420004.861429,Middle East & North Africa,Lower middle income
Algeria,DZA,2019,2049999.95231628,10630000.1144409,13979999.5422363,52000000.0,167060002.313927,Middle East & North Africa,Lower middle income
Algeria,DZA,2020,,,,,,Middle East & North Africa,Lower middle income
American Samoa,ASM,2000,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2001,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2002,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2003,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2004,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2005,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2006,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2007,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2008,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2009,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2010,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2011,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2012,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2013,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2014,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2015,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2016,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2017,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2018,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2019,,,,,,East Asia & Pacific,Upper middle income
American Samoa,ASM,2020,,,,,,East Asia & Pacific,Upper middle income
Andorra,AND,2000,,,,,,Europe & Central Asia,High income
Andorra,AND,2001,,,,,,Europe & Central Asia,High income
Andorra,AND,2002,,,,,,Europe & Central Asia,High income
Andorra,AND,2003,,,,,,Europe & Central Asia,High income
Andorra,AND,2004,,,,,,Europe & Central Asia,High income
Andorra,AND,2005,,,,,,Europe & Central Asia,High income
Andorra,AND,2006,,,,,,Europe & Central Asia,High income
Andorra,AND,2007,,,,,,Europe & Central Asia,High income
Andorra,AND,2008,,,,,,Europe & Central Asia,High income
Andorra,AND,2009,,,,,,Europe & Central Asia,High income
Andorra,AND,2010,,,,,,Europe & Central Asia,High income
Andorra,AND,2011,,,,,,Europe & Central Asia,High income
Andorra,AND,2012,,,,,,Europe & Central Asia,High income
Andorra,AND,2013,,,,,,Europe & Central Asia,High income
Andorra,AND,2014,,,,,,Europe & Central Asia,High income
Andorra,AND,2015,,,,,,Europe & Central Asia,High income
Andorra,AND,2016,,,,,,Europe & Central Asia,High income
Andorra,AND,2017,,,,,,Europe & Central Asia,High income
Andorra,AND,2018,,,,,,Europe & Central Asia,High income
Andorra,AND,2019,,,,,,Europe & Central Asia,High income
Andorra,AND,2020,,,,,,Europe & Central Asia,High income
Angola,AGO,2000,37310001.373291,8270000.45776367,11319999.6948242,36849998.4741211,234519998.99745,Sub-Saharan Africa,Lower middle income
Angola,AGO,2001,33950000.7629395,7860000.1335144,9939999.5803833,60459999.0844727,240929997.898639,Sub-Saharan Africa,Lower middle income
Angola,AGO,2002,105610000.610352,10229999.5422363,16479999.5422363,62380001.0681152,348780001.208187,Sub-Saharan Africa,Lower middle income
Angola,AGO,2003,152910003.662109,13779999.7329712,13460000.038147,67629997.253418,439779999.107122,Sub-Saharan Africa,Lower middle income
Angola,AGO,2004,121290000.915527,15079999.9237061,12949999.8092651,76680000.3051758,1092379979.41673,Sub-Saharan Africa,Lower middle income
Angola,AGO,2005,67239997.8637695,14050000.1907349,12239999.7711182,70290000.9155273,318519997.544587,Sub-Saharan Africa,Lower middle income
Angola,AGO,2006,32849998.4741211,12619999.8855591,11350000.3814697,48580001.8310547,96590000.3910065,Sub-Saharan Africa,Lower middle income
Angola,AGO,2007,39630001.0681152,10039999.961853,12260000.2288818,64860000.6103516,169870000.56915,Sub-Saharan Africa,Lower middle income
Angola,AGO,2008,42680000.3051758,9550000.19073486,11649999.6185303,49389999.3896484,267999999.172985,Sub-Saharan Africa,Lower middle income
