Income group,Country,Extremely poor,Moderately poor,Near poor
Low income countries,Burkina Faso,31.24,35.94,20.4
Low income countries,Burundi,79.39,14.16,5.25
Low income countries,Central African Republic,63.48,18.18,10.7
Low income countries,Chad,42.67,27.52,17.81
Low income countries,"Congo, Democratic Republic of the",68.83,17.38,9.42
Low income countries,Ethiopia,18.35,30.88,34.83
Low income countries,Gambia,7.28,21.88,34.28
Low income countries,Guinea,23.29,29.91,29.9
Low income countries,Guinea-Bissau,61.26,19.47,10.84
Low income countries,Haiti,20.31,22.22,29.98
Low income countries,Liberia,50.84,27.72,15.64
Low income countries,Madagascar,76.09,14.52,6.87
Low income countries,Malawi,64.97,22.48,8.85
Low income countries,Mali,45.24,31.9,17.06
Low income countries,Mozambique,60.69,19.67,9.97
Low income countries,Niger,38.6,33.81,19.15
Low income countries,Rwanda,46.51,27.24,15.68
Low income countries,Sierra Leone,43.38,32.23,15.94
Low income countries,Sudan,12.03,31.1,33.51
Low income countries,Syrian Arab Republic,38.61,28.54,18.63
Low income countries,Tajikistan,1.37,6.11,23.27
Low income countries,Togo,34.51,25.06,22.78
Low income countries,Uganda,34.01,30.05,20.13
Low income countries,Yemen,52.58,24.1,12.12
Lower-middle income countries,Algeria,0.09,0.99,13.43
Lower-middle income countries,Angola,51.89,21.17,16.17
Lower-middle income countries,Bangladesh,4.04,25.19,39.82
Lower-middle income countries,Benin,37.32,27.37,21.66
Lower-middle income countries,Bhutan,0.83,7.47,20.94
Lower-middle income countries,Bolivia,4.43,3.28,10.49
Lower-middle income countries,Cambodia,9.22,33.74,33.68
Lower-middle income countries,Cameroon,21.33,19.86,23.95
Lower-middle income countries,Cape Verde,0.4,7.89,22.14
Lower-middle income countries,Comoros,15.21,18.11,23.72
Lower-middle income countries,Congo,59.26,20.38,13.25
Lower-middle income countries,Côte d'Ivoire,19.96,26.26,25.86
Lower-middle income countries,Egypt,1.75,22.43,44.89
Lower-middle income countries,El Salvador,0.46,2.93,14.68
